feature,importance
elevation_risk,0.35059407
elevation_m,0.3148695
drainage_score,0.093421005
drainage_effectiveness,0.08995126
rain_mm,0.041043665
humidity_pct,0.036800865
rain_sum_3h,0.019332293
rain_trend,0.0131482715
rain_sum_1h,0.012190579
cumulative_risk,0.011177958
temp_humidity_interaction,0.0044769067
rain_max_3h,0.003925385
rain_intensity,0.002235503
slope_pct,0.0017992405
rain_max_6h,0.0017909466
rain_sum_24h,0.0014522382
rain_variability,0.0011297729
temp_c,0.0006606487
is_monsoon,0.0
month,0.0
day_of_year,0.0
hour,0.0
rain_sum_12h,0.0
rain_sum_6h,0.0
rain_spike,0.0
